City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Kupang,ID,76.86,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
266,Ures,MX,82.99,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
270,Katherine,AU,75.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
271,Trairi,BR,86.02,broken clouds,-3.2778,-39.2689,janelas do mar
272,Port Blair,IN,82.26,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
275,Bontang,ID,78.4,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
277,Ko Samui,TH,84.34,clear sky,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
279,Reyes,BO,86.0,broken clouds,-14.3167,-67.3833,
281,Isangel,VU,77.94,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
288,Monrovia,LR,89.6,broken clouds,6.3005,-10.7969,Sunset Inn
289,Kouango,CF,83.32,overcast clouds,4.9934,19.9619,
291,Ojinaga,MX,77.0,clear sky,29.5667,-104.4167,Suites Las Palmas
292,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
294,Rameswaram,IN,84.63,clear sky,9.2833,79.3,Daiwik Hotels Rameswaram
297,Boa Vista,BR,89.6,light rain,2.8197,-60.6733,Aipana Plaza Hotel
301,Meulaboh,ID,78.42,overcast clouds,4.1363,96.1285,Kost Pria
306,Puerto Escondido,MX,86.04,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
308,Surin,TH,88.0,broken clouds,14.8818,103.4936,One Fu Hotel
309,Dhidhdhoo,MV,83.82,few clouds,6.8833,73.1,Dhidhoo beach
316,Lazaro Cardenas,MX,82.76,clear sky,17.9583,-102.2,Hotel Quinta Antigua
328,Mitsamiouli,KM,82.11,light rain,-11.3847,43.2844,Foyer ADM
335,Grand Gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
337,Port Hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
342,Palmetto,US,84.99,clear sky,27.5214,-82.5723,Courtyard by Marriott Bradenton Sarasota/Riverfront
349,Manyana,BW,75.38,clear sky,-23.4,21.7167,
350,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
351,Manggar,ID,79.32,scattered clouds,-2.8833,108.2667,Guest Hotel
352,Tonantins,BR,87.03,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
353,Nuevitas,CU,87.8,scattered clouds,21.5453,-77.2644,Hotel Caonaba
359,Vao,NC,78.76,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
360,Harper,LR,83.46,overcast clouds,4.375,-7.7169,Screensaver
362,Ambon,ID,79.79,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
369,Luanda,AO,86.0,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
371,Tadine,NC,78.17,moderate rain,-21.55,167.8833,
373,Warri,NG,84.18,light rain,5.5167,5.75,BON Hotel Delta
377,Chiang Rai,TH,80.01,clear sky,19.9167,99.9167,Bansaeo Garden and Resort
380,Teknaf,BD,76.8,few clouds,20.8624,92.3058,Forestry Guesthouse
385,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
387,Ippy,CF,79.39,broken clouds,6.2679,21.2247,
393,Hambantota,LK,80.76,clear sky,6.1241,81.1185,Bungalow 63
394,Poso,ID,78.01,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
398,Mogadishu,SO,83.26,broken clouds,2.0371,45.3438,Olympic Hotel
