City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Butaritari,KI,2021-04-07 23:59:27,3.0707,172.7902,81.75,77,15,14.07
59,Mataura,NZ,2021-04-07 23:59:27,-46.1927,168.8643,61.0,73,34,5.01
60,Sao Filipe,CV,2021-04-07 23:59:27,14.8961,-24.4956,75.22,66,40,10.0
61,Tura,IN,2021-04-07 23:59:27,25.5198,90.2201,67.03,81,0,5.64
62,Namibe,AO,2021-04-07 23:59:23,-15.1961,12.1522,78.8,82,75,6.17
63,Floro,NO,2021-04-07 23:59:28,61.5996,5.0328,30.2,93,90,4.61
64,Loandjili,CG,2021-04-07 23:59:28,-4.7561,11.8578,78.8,94,20,5.28
65,Fukue,JP,2021-04-07 23:59:28,32.6881,128.8419,59.0,77,0,7.52
66,Upernavik,GL,2021-04-07 23:59:29,72.7868,-56.1549,-3.37,92,27,6.67
67,Cockburn Town,TC,2021-04-07 23:59:29,21.4612,-71.1419,73.4,60,40,9.22
68,Berlevag,NO,2021-04-07 23:59:29,70.8578,29.0864,27.82,79,65,14.65
69,Panaba,MX,2021-04-07 23:59:30,21.2833,-88.2667,83.3,53,98,8.68
70,Ericeira,PT,2021-04-07 23:59:30,38.9627,-9.4156,55.99,89,2,3.0
71,Itarema,BR,2021-04-07 23:59:30,-2.9248,-39.9167,80.6,81,100,14.79
72,Komsomolskiy,UZ,2021-04-07 23:59:31,40.4272,71.7189,51.8,54,9,6.91
73,Nyrob,RU,2021-04-07 23:59:31,60.733,56.7202,33.58,99,100,2.46
74,Hobyo,SO,2021-04-07 23:59:31,5.3505,48.5268,79.02,63,53,10.42
75,Camacha,PT,2021-04-07 23:59:31,33.0833,-16.3333,64.4,88,20,4.61
76,Haifa,IL,2021-04-07 23:59:32,32.8156,34.9892,63.48,71,69,3.89
77,Port Blair,IN,2021-04-07 23:59:32,11.6667,92.75,80.13,74,38,1.77
78,Boffa,GN,2021-04-07 23:59:32,10.1667,-14.0333,78.19,87,82,2.98
79,Talnakh,RU,2021-04-07 23:59:33,69.4865,88.3972,-0.74,96,71,1.34
80,Sedro-Woolley,US,2021-04-07 23:59:33,48.5039,-122.2361,50.0,76,75,9.22
81,Tepalcatepec,MX,2021-04-07 23:57:02,19.1833,-102.85,100.76,9,1,3.11
82,Hobart,AU,2021-04-07 23:57:13,-42.8794,147.3294,64.4,59,0,8.05
83,Kavieng,PG,2021-04-07 23:59:34,-2.5744,150.7967,78.01,88,99,27.13
84,Hambantota,LK,2021-04-07 23:59:34,6.1241,81.1185,76.57,81,64,2.86
85,Novoseleznevo,RU,2021-04-07 23:59:34,55.6821,69.2056,34.25,98,100,9.1
86,Dikson,RU,2021-04-07 23:59:34,73.5069,80.5464,8.11,86,100,5.17
87,Puerto Ayora,EC,2021-04-07 23:59:35,-0.7393,-90.3518,77.0,92,59,1.99
