City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Khandyga,RU,62.6667,135.6,16.99,79,100,10.42,overcast clouds
159,Touros,BR,-5.1989,-35.4608,87.8,62,40,17.27,scattered clouds
160,Paraiso,CR,9.8383,-83.8656,80.6,61,0,8.05,clear sky
161,Patacamaya,BO,-17.2333,-67.9167,54.07,58,100,8.7,overcast clouds
162,Sola,VU,-13.8833,167.55,78.89,77,100,6.17,light rain
163,Exu,BR,-7.5119,-39.7242,88.56,38,100,8.12,overcast clouds
164,Broken Hill,AU,-31.95,141.4333,53.6,62,0,11.5,clear sky
165,Batemans Bay,AU,-35.7167,150.1833,54.0,81,0,1.01,clear sky
166,Catuday,PH,16.2923,119.8062,79.2,71,8,3.51,clear sky
167,Rawlins,US,41.7911,-107.2387,50.0,23,1,25.32,clear sky
168,Korla,CN,41.7597,86.1469,58.6,39,2,3.78,clear sky
169,Bivolari,RO,47.5333,27.4333,53.6,32,0,9.22,clear sky
170,Nioro,GM,13.35,-15.75,105.17,9,4,4.79,clear sky
171,Udaipura,IN,23.0833,78.5,88.25,25,68,6.46,broken clouds
172,Sao Filipe,CV,14.8961,-24.4956,77.72,58,6,11.5,clear sky
173,Jumla,NP,29.2747,82.1838,44.11,22,0,5.41,clear sky
174,Bud,US,39.447,-86.1758,63.0,89,99,15.64,moderate rain
175,Ejido,VE,8.5514,-71.2375,79.05,66,99,6.8,overcast clouds
176,Havoysund,NO,70.9963,24.6622,33.8,60,0,11.5,clear sky
177,Sangar,RU,63.9242,127.4739,10.08,93,100,0.87,overcast clouds
178,Yerbogachen,RU,61.2767,108.0108,-0.13,97,39,3.85,scattered clouds
179,Saint-Pierre,RE,-21.3393,55.4781,82.4,65,90,3.44,light rain
180,Nikolskoye,RU,59.7035,30.7861,43.0,93,90,6.71,overcast clouds
181,Vila Velha,BR,-20.3297,-40.2925,82.99,54,0,10.36,clear sky
182,Carnarvon,AU,-24.8667,113.6333,77.0,83,96,14.97,overcast clouds
183,Tonantins,BR,-2.8731,-67.8022,87.03,62,100,1.5,overcast clouds
184,Coihueco,CL,-36.6167,-71.8333,59.0,67,40,5.75,scattered clouds
185,Banjar,ID,-8.19,114.9675,80.6,89,20,4.61,few clouds
186,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,68,20,4.61,few clouds
187,Yuty,PY,-26.6,-56.25,95.38,26,1,10.02,clear sky
188,Mar Del Plata,AR,-38.0023,-57.5575,66.2,77,75,16.11,broken clouds
189,Bathsheba,BB,13.2167,-59.5167,80.6,61,20,8.05,volcanic ash
190,Khash,IR,28.2211,61.2158,72.39,11,49,15.84,scattered clouds
191,Rancho Palos Verdes,US,33.7445,-118.387,64.99,82,20,5.75,few clouds
192,Lata,PT,40.1629,-8.3327,61.0,94,75,4.61,light rain
193,Beringovskiy,RU,63.05,179.3167,5.29,94,100,19.04,light snow
194,Moorhead,US,46.8739,-96.7676,48.99,71,1,6.91,clear sky
195,Puerto Madryn,AR,-42.7692,-65.0385,67.21,42,25,16.35,scattered clouds
196,San Remo,IT,43.8182,7.7612,55.99,100,75,13.8,heavy intensity rain
197,Strezhevoy,RU,60.7333,77.5889,41.0,52,0,6.71,clear sky
198,Praya,CV,14.9215,-23.5087,80.6,47,20,21.85,few clouds
199,Kuala Terengganu,MY,5.3302,103.1408,82.4,83,20,2.3,few clouds
200,Rawson,AR,-43.3002,-65.1023,67.46,40,4,17.87,clear sky
201,Ulaanbaatar,MN,47.9077,106.8832,33.8,86,75,13.42,light rain and snow
202,Bougouni,ML,11.417,-7.479,104.49,11,8,5.26,clear sky
203,Rosamorada,MX,22.1222,-105.2058,88.79,29,49,4.16,scattered clouds
204,Anjozorobe,MG,-18.4,47.8667,68.0,83,20,9.22,few clouds
205,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,14.97,broken clouds
206,Husavik,IS,66.0449,-17.3389,37.4,35,0,8.05,clear sky
207,Saskylakh,RU,71.9167,114.0833,-5.71,89,12,9.82,few clouds
208,Severo-Kurilsk,RU,50.6789,156.125,29.01,84,100,17.87,overcast clouds
209,Uchiza,PE,-8.4592,-76.4633,73.62,93,100,2.71,overcast clouds
210,Umm Lajj,SA,25.0213,37.2685,72.77,49,0,16.67,clear sky
211,Mollendo,PE,-17.0231,-72.0147,71.35,75,96,9.28,overcast clouds
212,Ponta Delgada,PT,37.7333,-25.6667,62.6,94,75,14.97,broken clouds
213,Chuy,UY,-33.6971,-53.4616,67.64,96,100,9.28,heavy intensity rain
214,Karsun,RU,54.1994,46.9827,33.89,99,100,5.79,overcast clouds
215,Christchurch,NZ,-43.5333,172.6333,62.6,48,41,6.91,scattered clouds
216,Ous,RU,60.9058,61.5186,31.6,97,87,4.32,overcast clouds
217,Nyrob,RU,60.733,56.7202,28.99,97,100,2.73,overcast clouds
218,Yanam,IN,16.7333,82.2167,82.4,74,20,5.75,few clouds
219,Gagnoa,CI,6.1293,-5.9437,90.12,53,100,3.02,overcast clouds
220,Pilot Butte,CA,50.4668,-104.4178,51.01,27,93,9.22,overcast clouds
221,Lujan,AR,-34.5703,-59.105,71.01,95,100,1.99,light rain
222,Inuvik,CA,68.3499,-133.7218,-16.6,63,100,5.75,overcast clouds
223,Balakhninskiy,RU,58.0106,114.2769,12.22,87,100,7.43,overcast clouds
224,Adre,TD,13.4667,22.2,85.95,5,34,9.04,scattered clouds
